ts	tag	phase	kind	source	chr21_rec	chr21_prec	chr22_rec	chr22_prec	pool_rec	pool_prec	accepted	note
2026-06-23T22:27:17Z	cal0	0	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=18;TIER1_SHORT_MIN_SCORE=18;TIER1_SHORT_PERIOD_MAX=4;TIER2_MISMATCH=0.25;TIER2_SHORT_REQ_COPIES=2;	62.93	59.68	65.03	64.95	64.01	62.37	accept	calibration_current_oppoint
2026-06-23T22:50:36Z	p1_fmdens45	1	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=18;TIER1_SHORT_MIN_SCORE=18;TIER1_SHORT_PERIOD_MAX=4;TIER2_MISMATCH=0.25;TIER2_SHORT_REQ_COPIES=2;	64.24	57.92	66.19	62.46	65.24	60.24	accept	TIER1_FMSCAN_MIN_DENSITY=0.45+TIER1_FMSCAN_MIN_LLR=6.0
2026-06-23T22:51:14Z	p1_stitch1	1	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=18;TIER1_SHORT_MIN_SCORE=18;TIER1_SHORT_PERIOD_MAX=4;TIER1_STITCH_GAP=1;TIER2_MISMATCH=0.25;TIER2_SHORT_REQ_COPIES=2;	62.96	59.71	65.05	64.96	64.03	62.38	reject	TIER1_STITCH_GAP=1
2026-06-23T22:53:15Z	p1_t2req1	1	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=18;TIER1_SHORT_MIN_SCORE=18;TIER1_SHORT_PERIOD_MAX=4;TIER2_MISMATCH=0.25;TIER2_SHORT_REQ_COPIES=1;	62.93	59.68	65.03	64.96	64.01	62.37	reject	TIER2_SHORT_REQ_COPIES=1
2026-06-23T22:53:55Z	p1_fmscan9	1	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MAX_P=9;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=18;TIER1_SHORT_MIN_SCORE=18;TIER1_SHORT_PERIOD_MAX=4;TIER2_MISMATCH=0.25;TIER2_SHORT_REQ_COPIES=2;	62.94	59.69	65.04	64.99	64.02	62.39	reject	TIER1_FMSCAN_MAX_P=9
2026-06-23T22:55:11Z	p1_spm9l16	1	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=16;TIER1_SHORT_MIN_SCORE=16;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.25;TIER2_SHORT_REQ_COPIES=2;	71.68	44.52	74.01	50.19	72.88	47.38	reject	TIER1_SHORT_PERIOD_MAX=9+TIER1_SHORT_MIN_ARRAY_LEN=16+TIER1_SHORT_MIN_SCORE=16
2026-06-23T22:59:23Z	p1_t2mm30	1	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=18;TIER1_SHORT_MIN_SCORE=18;TIER1_SHORT_PERIOD_MAX=4;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	64.15	57.63	66.66	63.22	65.44	60.48	accept	TIER2_MISMATCH=0.30
2026-06-23T23:29:39Z	c_AB_spm6f18	1	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=18;TIER1_SHORT_MIN_SCORE=18;TIER1_SHORT_PERIOD_MAX=6;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	66.88	55.16	69.24	59.97	68.09	57.62	reject	TIER1_FMSCAN_MIN_DENSITY=0.45+TIER1_FMSCAN_MIN_LLR=6.0+TIER2_MISMATCH=0.30+TIER1_SHORT_PERIOD_MAX=6
2026-06-23T23:33:10Z	c_AB	1	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=18;TIER1_SHORT_MIN_SCORE=18;TIER1_SHORT_PERIOD_MAX=4;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	65.42	56.10	67.71	60.98	66.59	58.59	reject	TIER1_FMSCAN_MIN_DENSITY=0.45+TIER1_FMSCAN_MIN_LLR=6.0+TIER2_MISMATCH=0.30
2026-06-23T23:33:33Z	c_AB_spm9f17	1	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=17;TIER1_SHORT_MIN_SCORE=17;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	68.68	52.36	71.11	57.23	69.93	54.85	reject	TIER1_FMSCAN_MIN_DENSITY=0.45+TIER1_FMSCAN_MIN_LLR=6.0+TIER2_MISMATCH=0.30+TIER1_SHORT_PERIOD_MAX=9+TIER1_SHORT_MIN_ARRAY_LEN=17+TIER1_SHORT_MIN_SCORE=17
2026-06-23T23:33:36Z	c_AB_spm9f18	1	config	TIER1_COPYADD=2;TIER1_COPYBASE=6;TIER1_EXT_COPIES=2;TIER1_FMSCAN=1;TIER1_FMSCAN_MIN_DENSITY=0.45;TIER1_FMSCAN_MIN_LLR=6.0;TIER1_MIN_ARRAY_LEN=20;TIER1_MIN_COPIES=2;TIER1_MIN_SCORE=20;TIER1_SHORT_MIN_ARRAY_LEN=18;TIER1_SHORT_MIN_SCORE=18;TIER1_SHORT_PERIOD_MAX=9;TIER2_MISMATCH=0.30;TIER2_SHORT_REQ_COPIES=2;	67.36	54.05	69.80	58.93	68.61	56.54	reject	TIER1_FMSCAN_MIN_DENSITY=0.45+TIER1_FMSCAN_MIN_LLR=6.0+TIER2_MISMATCH=0.30+TIER1_SHORT_PERIOD_MAX=9
